time_c,ECG data
4.2,2518.415751
4.204,2561.308749
4.208,2577.759633
4.212,2547.562426
4.216,2502.903641
4.22,2504.825891
4.224,2552.122182
4.228,2571.791717
4.232,2541.147475
4.236,2499.729693
4.24,2503.060103
4.244,2551.07165
4.248,2576.709101
4.252,2555.921978
4.256,2514.347734
4.26,2518.438103
4.264,2559.989996
4.268,2577.647874
4.272,2549.194103
4.276,2510.302068
4.28,2515.420618
4.284,2559.498258
4.288,2582.386444
4.292,2557.911284
4.296,2513.565423
4.3,2517.879309
4.304,2561.554618
4.308,2584.152232
4.312,2556.257255
4.316,2515.845301
4.32,2519.220414
4.324,2564.437993
4.328,2589.963685
4.332,2566.44965
4.336,2526.440028
4.34,2526.484731
4.344,2569.310673
4.348,2590.947162
4.352,2567.634293
4.356,2530.865673
4.36,2539.560502
4.364,2587.102662
4.368,2609.834386
4.372,2583.146403
4.376,2539.336984
4.38,2544.611996
4.384,2588.175546
4.388,2608.627392
4.392,2587.057958
4.396,2549.238807
4.4,2551.406926
4.404,2594.076406
4.408,2620.339706
4.412,2596.356284
4.416,2553.12801
4.42,2550.736374
4.424,2596.624505
4.428,2622.239604
4.432,2597.406816
4.436,2557.128973
4.44,2561.241694
4.444,2606.638087
4.448,2638.042288
4.452,2622.507825
4.456,2585.493336
4.46,2591.193031
4.464,2638.578729
4.468,2659.589369
4.472,2643.406706
4.476,2611.309601
4.48,2593.182336
4.484,2618.149235
4.488,2629.883901
4.492,2587.750863
4.496,2525.456551
4.5,2516.113522
4.504,2558.112449
4.508,2589.628409
4.512,2565.667339
4.516,2523.377839
4.52,2534.084324
4.524,2587.482642
4.528,2629.481569
4.532,2608.247412
4.536,2565.04149
4.54,2562.515743
4.544,2605.006409
4.548,2627.849892
4.552,2603.710008
4.556,2556.123144
4.56,2553.12801
4.564,2598.837328
4.568,2626.307622
4.572,2607.979191
4.576,2565.846153
4.58,2564.14742
4.584,2609.186186
4.588,2637.617604
4.592,2616.226985
4.596,2571.277627
4.6,2569.087156
4.604,2610.862566
4.608,2650.358099
4.612,2676.330826
4.616,2723.470655
4.62,2794.146871
4.624,2871.550962
4.628,2884.514974
4.632,2728.097466
4.636,2350.643557
4.64,1819.342592
4.644,1239.895968
4.648,1117.922499
4.652,1364.819868
4.656,1978.598771
4.66,2587.370883
4.664,2697.743797
4.668,2565.42147
4.672,2432.42859
4.676,2328.403572
4.68,2316.557147
4.684,2380.594895
4.688,2440.162294
4.692,2436.451904
4.696,2397.358703
4.7,2387.32277
4.704,2424.806645
4.708,2446.800762
4.712,2420.828035
4.716,2368.23438
4.72,2352.521104
4.724,2383.99236
4.728,2399.616229
4.732,2372.950598
4.736,2322.61447
4.74,2304.196632
4.744,2334.483246
4.748,2347.380203
4.752,2313.830234
4.756,2251.491219
4.76,2227.93248
4.764,2250.932425
4.768,2254.285187
4.772,2212.1745
4.776,2145.54395
4.78,2110.585822
4.784,2117.358401
4.788,2110.965802
4.792,2057.992167
4.796,1971.781489
4.8,1912.661125
4.804,1900.188851
4.808,1880.116985
4.812,1804.657496
4.816,1699.13491
4.82,1621.328488
4.824,1600.451958
4.828,1568.131336
4.832,1486.346303
4.836,1381.851897
4.84,1312.069751
4.844,1297.094082
4.848,1282.207821
4.852,1230.664698
4.856,1168.951532
4.86,1146.644491
4.864,1188.01757
4.868,1244.679242
4.872,1278.162155
4.876,1306.772388
4.88,1387.39513
4.884,1527.384106
4.888,1665.272017
4.892,1760.065765
4.896,1827.053944
4.9,1915.343334
4.904,2048.403269
4.908,2163.872381
4.912,2224.356201
4.916,2244.96451
4.92,2284.482394
4.924,2364.948674
4.928,2429.724029
4.932,2438.642375
4.936,2418.637564
4.94,2424.247852
4.944,2475.187477
4.948,2514.705362
4.952,2507.88808
4.956,2464.860972
4.96,2454.936797
4.964,2501.294315
4.968,2534.4196
4.972,2518.728676
4.976,2475.545105
4.98,2458.513076
4.984,2494.655847
4.988,2526.21651
4.992,2512.38078
4.996,2467.364367
5,2447.046631
5.004,2485.134004
5.008,2522.662583
5.012,2513.006629
5.016,2469.845411
5.02,2456.702585
5.024,2493.046521
5.028,2525.568309
5.032,2513.252498
5.036,2469.0631
5.04,2457.194323
5.044,2494.253516
5.048,2529.189292
5.052,2520.226243
5.056,2478.942571
5.06,2460.99412
5.064,2500.4673
5.068,2532.922033
5.072,2519.93567
5.076,2475.925085
5.08,2457.998986
5.084,2494.767606
5.088,2534.039621
5.092,2524.718943
5.096,2479.724882
5.1,2464.168067
5.104,2499.059141
5.108,2537.839417
5.112,2534.240786
5.116,2489.514946
5.12,2471.231219
5.124,2508.960963
5.128,2544.969624
5.132,2538.353507
5.136,2500.623763
5.14,2481.043635
5.144,2518.438103
5.148,2557.330138
5.152,2553.932673
5.156,2510.503234
5.16,2493.515908
5.164,2528.00465
5.168,2560.928769
5.172,2557.844228
5.176,2518.952193
5.18,2498.388588
5.184,2534.978394
5.188,2575.189182
5.192,2564.058013
5.196,2520.852091
5.2,2502.993048
5.204,2540.208702
5.208,2576.753804
5.212,2566.583761
5.216,2524.137798
5.22,2502.411902
5.224,2537.772362
5.228,2578.251371
5.232,2573.535153
5.236,2530.06101
5.24,2507.955135
5.244,2537.10181
5.248,2574.697444
5.252,2571.992883
5.256,2536.945347
5.26,2518.125179
5.264,2554.692633
5.268,2588.287304
5.272,2582.58761
5.276,2547.271853
5.28,2532.251481
5.284,2576.887915
5.288,2620.585575
5.292,2614.505901
5.296,2572.283455
5.3,2558.112449
5.304,2597.138595
5.308,2619.758561
5.312,2594.545793
5.316,2544.500237
5.32,2504.490614
5.324,2520.762684
5.328,2552.032775
5.332,2540.231054
5.336,2498.321533
5.34,2469.621893
5.344,2505.451739
5.348,2562.024005
5.352,2570.540019
5.356,2544.053202
5.36,2523.646059
5.364,2553.440935
5.368,2590.321313
5.372,2587.795566
5.376,2543.337946
5.38,2514.30303
5.384,2542.130952
5.388,2581.224153
5.392,2579.681883
5.396,2543.650871
5.4,2520.96385
5.404,2554.066784
5.408,2594.098758
5.412,2591.885935
5.416,2555.94433
5.42,2532.49735
5.424,2562.828668
5.428,2602.994752
5.432,2601.631296
5.436,2565.466173
5.44,2575.725624
5.444,2684.109233
5.448,2832.368354
5.452,2882.145689
5.456,2844.661813
5.46,2726.86812
5.464,2485.938667
5.468,2046.905702
5.472,1366.719766
5.476,977.1959158
5.48,1077.823469
5.484,1692.071759
5.488,2457.328434
5.492,2716.608669
5.496,2538.353507
5.5,2392.19545
5.504,2334.66206
5.508,2346.57554
5.512,2357.170267
5.516,2341.367583
5.52,2336.718421
5.524,2378.359721
5.528,2427.622965
5.532,2425.365439
5.536,2375.476345
5.54,2340.138237
5.544,2361.752374
5.548,2397.045779
5.552,2386.518107
5.556,2334.684412
5.56,2298.362827
5.564,2316.937127
5.568,2351.403517
5.572,2337.99247
5.576,2285.488222
5.58,2243.802219
5.584,2254.933388
5.588,2276.391062
5.592,2254.352242
